ID	Cancer_type_mapped	Drug_curated	Association	Evidence_mapped
RANBP1--ALK	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
RANBP2--ALK	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
RANBP2--ALK	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
STRN--ALK	Non-Small Cell Lung Cancer	Brigatinib	Responsive	Approved
STRN--ALK	Non-Small Cell Lung Cancer	Lorlatinib	Responsive	Approved
BRAF--.	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Cobimetinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Melanoma	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Ovarian-Fallopian Tube Cancer	Trametinib(26314551, 26343582, 22745804, 15630448, 28783719, 20526349, 30073261, 18974108, 25985019, 26324360, 21424530, 30257958, 24345920)	Responsive	Clinical_trial
BRAF--.	Lung Adenocarcinoma	BRAF inhibitor + MEK inhibitors(ASCO 2017 (abstr 9072))	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	BRAF inhibitor + MEK inhibitors(ASCO 2017 (abstr 9072))	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	BRAF inhibitor + MEK inhibitors(ASCO 2017 (abstr 9072))	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	BRAF inhibitor + MEK inhibitors(ASCO 2017 (abstr 9072))	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	BRAF inhibitor + MEK inhibitors(ASCO 2017 (abstr 9072))	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	BRAF inhibitor + MEK inhibitors(ASCO 2017 (abstr 9072))	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	BRAF inhibitor + MEK inhibitors(ASCO 2017 (abstr 9072))	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	BRAF inhibitor + MEK inhibitors(ASCO 2017 (abstr 9072))	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	BRAF inhibitor + MEK inhibitors(ASCO 2017 (abstr 9072))	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	MEK inhibitors(24727320;24345920;20526349)	Responsive	Pre_clinical
BRAF--.	Ovarian-Fallopian Tube Cancer	Selumetinib(26324360)	Responsive	Pre_clinical
BRAF--.	Ovarian-Fallopian Tube Cancer	Selumetinib(26324360)	Responsive	Pre_clinical
BRAF--.	Ovarian-Fallopian Tube Cancer	Selumetinib(26324360)	Responsive	Pre_clinical
BRAF--.	Ovarian-Fallopian Tube Cancer	Selumetinib(26324360)	Responsive	Pre_clinical
BRAF--.	Ovarian-Fallopian Tube Cancer	Selumetinib(26324360)	Responsive	Pre_clinical
BRAF--.	Ovarian-Fallopian Tube Cancer	Selumetinib(26324360)	Responsive	Pre_clinical
BRAF--.	Ovarian-Fallopian Tube Cancer	Selumetinib(26324360)	Responsive	Pre_clinical
BRAF--.	Ovarian-Fallopian Tube Cancer	Selumetinib(26324360)	Responsive	Pre_clinical
BRAF--.	Ovarian-Fallopian Tube Cancer	Selumetinib(26324360)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Cutaneous Melanoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Lung Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
BRAF--.	Prostate Adenocarcinoma	Sorafenib(238900088;20526349;24727320)	Responsive	Pre_clinical
AGAP3--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230, 28539463)	Responsive	Clinical_trial
AGAP3--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230, 28539463)	Responsive	Clinical_trial
AGAP3--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230, 28539463)	Responsive	Clinical_trial
AGAP3--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230, 28539463)	Responsive	Clinical_trial
AGAP3--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230, 28539463)	Responsive	Clinical_trial
AGAP3--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230, 28539463)	Responsive	Clinical_trial
AGAP3--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230, 28539463)	Responsive	Clinical_trial
AGAP3--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230, 28539463)	Responsive	Clinical_trial
AGAP3--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230, 28539463)	Responsive	Clinical_trial
AGK--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 23890088, 24135138)	Responsive	Clinical_trial
AGK--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 23890088, 24135138)	Responsive	Clinical_trial
AGK--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 23890088, 24135138)	Responsive	Clinical_trial
AGK--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 23890088, 24135138)	Responsive	Clinical_trial
AGK--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 23890088, 24135138)	Responsive	Clinical_trial
AGK--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 23890088, 24135138)	Responsive	Clinical_trial
AGK--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 23890088, 24135138)	Responsive	Clinical_trial
AGK--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 23890088, 24135138)	Responsive	Clinical_trial
AGK--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(26314551, 23890088, 24135138)	Responsive	Clinical_trial
AKAP9--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448)	Responsive	Clinical_trial
AKAP9--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448)	Responsive	Clinical_trial
AKAP9--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448)	Responsive	Clinical_trial
AKAP9--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448)	Responsive	Clinical_trial
AKAP9--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448)	Responsive	Clinical_trial
AKAP9--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448)	Responsive	Clinical_trial
AKAP9--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448)	Responsive	Clinical_trial
AKAP9--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448)	Responsive	Clinical_trial
AKAP9--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(15630448)	Responsive	Clinical_trial
ARMC10--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230)	Responsive	Clinical_trial
ARMC10--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230)	Responsive	Clinical_trial
ARMC10--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230)	Responsive	Clinical_trial
ARMC10--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230)	Responsive	Clinical_trial
ARMC10--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230)	Responsive	Clinical_trial
ARMC10--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230)	Responsive	Clinical_trial
ARMC10--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230)	Responsive	Clinical_trial
ARMC10--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230)	Responsive	Clinical_trial
ARMC10--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(30279230)	Responsive	Clinical_trial
CUL1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25985019, 22745804, 15630448, 26324360)	Responsive	Clinical_trial
CUL1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25985019, 22745804, 15630448, 26324360)	Responsive	Clinical_trial
CUL1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25985019, 22745804, 15630448, 26324360)	Responsive	Clinical_trial
CUL1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25985019, 22745804, 15630448, 26324360)	Responsive	Clinical_trial
CUL1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25985019, 22745804, 15630448, 26324360)	Responsive	Clinical_trial
CUL1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25985019, 22745804, 15630448, 26324360)	Responsive	Clinical_trial
CUL1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25985019, 22745804, 15630448, 26324360)	Responsive	Clinical_trial
CUL1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25985019, 22745804, 15630448, 26324360)	Responsive	Clinical_trial
CUL1--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25985019, 22745804, 15630448, 26324360)	Responsive	Clinical_trial
FAM131B--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25040262, 15630448, 21424530)	Responsive	Clinical_trial
FAM131B--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25040262, 15630448, 21424530)	Responsive	Clinical_trial
FAM131B--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25040262, 15630448, 21424530)	Responsive	Clinical_trial
FAM131B--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25040262, 15630448, 21424530)	Responsive	Clinical_trial
FAM131B--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25040262, 15630448, 21424530)	Responsive	Clinical_trial
FAM131B--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25040262, 15630448, 21424530)	Responsive	Clinical_trial
FAM131B--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25040262, 15630448, 21424530)	Responsive	Clinical_trial
FAM131B--BRAF	Langerhans Cell Histiocytosis	Cobimetinib(25040262, 15630448, 21424530)	Responsive	Clinical_trial
