Any cancer	Any cancer
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities	AML with Recurrent Genetic Abnormalities
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML with t(6;9)(p23;q34.1);DEK-NUP214	AML with t(6;9)(p23;q34.1);DEK-NUP214
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1	AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/AML with t(9;11)(p21.3;q23.3);MLLT3-KMT2A	AML with t(9;11)(p21.3;q23.3);MLLT3-KMT2A
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/AML with Recurrent Genetic Abnormalities/APL with PML-RARA	APL with PML-RARA
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/Myeloid Proliferations Related to Down Syndrome/Myeloid Leukemia Associated with Down Syndrome	Myeloid Leukemia Associated with Down Syndrome
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/Myeloid Proliferations Related to Down Syndrome	Myeloid Proliferations Related to Down Syndrome
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/Myeloid Proliferations Related to Down Syndrome/Transient Abnormal Myelopoiesis	Transient Abnormal Myelopoiesis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/Myeloid Sarcoma	Myeloid Sarcoma
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/Therapy-Related Myeloid Neoplasms/Therapy-Related Acute Myeloid Leukemia	Therapy-Related Acute Myeloid Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/Therapy-Related Myeloid Neoplasms/Therapy-Related Myelodysplastic Syndrome	Therapy-Related Myelodysplastic Syndrome
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Acute Myeloid Leukemia/Therapy-Related Myeloid Neoplasms	Therapy-Related Myeloid Neoplasms
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Blastic Plasmacytoid Dendritic Cell Neoplasm	Blastic Plasmacytoid Dendritic Cell Neoplasm
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Blood Cancer	Blood Cancer
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Blood Cancer/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA	Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Blood Cancer/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2/Blood Cancer	Blood Cancer
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Blood Cancer/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2/Blood Cancer/Lymphoid Neoplasms with FGFR1 Rearrangement	Lymphoid Neoplasms with FGFR1 Rearrangement
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Blood Cancer/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2/Blood Cancer/Lymphoid Neoplasms with PCM1-JAK2	Lymphoid Neoplasms with PCM1-JAK2
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Blood Cancer/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2/Blood Cancer/Lymphoid Neoplasms with PDGFRA Rearrangement	Lymphoid Neoplasms with PDGFRA Rearrangement
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Blood Cancer/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2/Blood Cancer/Lymphoid Neoplasms with PDGFRB Rearrangement	Lymphoid Neoplasms with PDGFRB Rearrangement
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Blood Cancer/Lymphoid Neoplasms with Eosinophilia and Rearrangement of  PDGFRA/PDGFRB or FGFR1 or with PCM1-JAK2	PDGFRB or FGFR1 or with PCM1-JAK2
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Disseminated Juvenile Xanthogranuloma	Disseminated Juvenile Xanthogranuloma
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Erdheim-Chester Disease	Erdheim-Chester Disease
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Fibroblastic Reticular Cell Tumor	Fibroblastic Reticular Cell Tumor
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Follicular Dendritic Cell Sarcoma	Follicular Dendritic Cell Sarcoma
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms	Histiocytic and Dendritic Cell Neoplasms
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Histiocytic Sarcoma	Histiocytic Sarcoma
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Indeterminate Dendritic Cell Tumor	Indeterminate Dendritic Cell Tumor
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Interdigitating Dendritic Cell Sarcoma	Interdigitating Dendritic Cell Sarcoma
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Langerhans Cell Histiocytosis	Langerhans Cell Histiocytosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Langerhans Cell Sarcoma	Langerhans Cell Sarcoma
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Histiocytic and Dendritic Cell Neoplasms/Rosai-Dorfman Disease	Rosai-Dorfman Disease
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Mastocytosis/Cutaneous Mastocytosis	Cutaneous Mastocytosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Mastocytosis/Mast Cell Sarcoma	Mast Cell Sarcoma
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Mastocytosis	Mastocytosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Mastocytosis/Systemic Mastocytosis/Aggressive Systemic Mastocytosis	Aggressive Systemic Mastocytosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Mastocytosis/Systemic Mastocytosis/Indolent Systemic Mastocytosis	Indolent Systemic Mastocytosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Mastocytosis/Systemic Mastocytosis/Mast Cell Leukemia	Mast Cell Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Mastocytosis/Systemic Mastocytosis/Smoldering Systemic Mastocytosis	Smoldering Systemic Mastocytosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Mastocytosis/Systemic Mastocytosis	Systemic Mastocytosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Mastocytosis/Systemic Mastocytosis/Systemic Mastocytosis with an Associated Hematological Neoplasm	Systemic Mastocytosis with an Associated Hematological Neoplasm
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic	Myelodysplastic
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms/Atypical Chronic Myeloid Leukemia, BCR-ABL1-	Atypical Chronic Myeloid Leukemia, BCR-ABL1-
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms/Chronic Myelomonocytic Leukemia	Chronic Myelomonocytic Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms/Chronic Myelomonocytic Leukemia/Chronic Myelomonocytic Leukemia-0	Chronic Myelomonocytic Leukemia-0
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms/Chronic Myelomonocytic Leukemia/Chronic Myelomonocytic Leukemia-1	Chronic Myelomonocytic Leukemia-1
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms/Chronic Myelomonocytic Leukemia/Chronic Myelomonocytic Leukemia-2	Chronic Myelomonocytic Leukemia-2
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms/Juvenile Myelomonocytic Leukemia	Juvenile Myelomonocytic Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms/MDS	MDS
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms/MDS/MPN, Unclassifiable	MPN, Unclassifiable
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms/MDS/MPN with Ring Sideroblasts and Thrombocytosis	MPN with Ring Sideroblasts and Thrombocytosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic/Myeloproliferative Neoplasms	Myeloproliferative Neoplasms
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS, Unclassifiable	MDS, Unclassifiable
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS with Excess Blasts	MDS with Excess Blasts
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS with Excess Blasts/MDS with excess blasts-1	MDS with excess blasts-1
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS with Excess Blasts/MDS with excess blasts-2	MDS with excess blasts-2
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS with Isolated Del(5q)	MDS with Isolated Del(5q)
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS with Multilineage Dysplasia	MDS with Multilineage Dysplasia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS with Ring Sideroblasts	MDS with Ring Sideroblasts
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS with Ring Sideroblasts/MDS with Ring Sideroblasts and Multilineage Dysplasia	MDS with Ring Sideroblasts and Multilineage Dysplasia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS with Ring Sideroblasts/MDS with Ring Sideroblasts and Single Lineage Dysplasia	MDS with Ring Sideroblasts and Single Lineage Dysplasia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/MDS with Single Lineage Dysplasia	MDS with Single Lineage Dysplasia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes	Myelodysplastic Syndromes
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myelodysplastic Syndromes/Refractory Cytopenia of Childhood	Refractory Cytopenia of Childhood
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm	Myeloid Neoplasm
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloid Neoplasms with Germ Line Predisposition	Myeloid Neoplasms with Germ Line Predisposition
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Chronic Eosinophilic Leukemia, NOS	Chronic Eosinophilic Leukemia, NOS
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Chronic Myelogenous Leukemia	Chronic Myelogenous Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Chronic Myelogenous Leukemia/Chronic Myeloid Leukemia, BCR-ABL1+	Chronic Myeloid Leukemia, BCR-ABL1+
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Chronic Neutrophilic Leukemia	Chronic Neutrophilic Leukemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Essential Thrombocythemia	Essential Thrombocythemia
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Essential Thrombocythemia/Essential Thrombocythemia Myelofibrosis	Essential Thrombocythemia Myelofibrosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms	Myeloproliferative Neoplasms
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Myeloproliferative Neoplasms, Unclassifiable	Myeloproliferative Neoplasms, Unclassifiable
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Polycythemia Vera/Polycythaemia Vera Myelofibrosis	Polycythaemia Vera Myelofibrosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Polycythemia Vera	Polycythemia Vera
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Primary Myelofibrosis	Primary Myelofibrosis
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Primary Myelofibrosis/Primary Myelofibrosis,Overt Fibrotic Stage	Primary Myelofibrosis,Overt Fibrotic Stage
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Primary Myelofibrosis/Primary Myelofibrosis, Prefibrotic/Early Stage	Early Stage
Any cancer/Liquid tumor/Blood Cancer/Myeloid Neoplasm/Myeloproliferative Neoplasms/Primary Myelofibrosis/Primary Myelofibrosis, Prefibrotic	Primary Myelofibrosis, Prefibrotic
Any cancer/Liquid tumor	Liquid tumor
Any cancer/Liquid tumor/Lymphatic Cancer	Lymphatic Cancer
Any cancer/Liquid tumor/Lymphatic Cancer/Lymphoid Neoplasm/B-Lymphoblastic Leukemia-Lymphoma	B-Lymphoblastic Leukemia-Lymphoma
Any cancer/Liquid tumor/Lymphatic Cancer/Lymphoid Neoplasm	Lymphoid Neoplasm
Any cancer/Liquid tumor/Lymphatic Cancer/Lymphoid Neoplasm/T-Lymphoblastic Leukemia-Lymphoma	T-Lymphoblastic Leukemia-Lymphoma
Any cancer/Solid tumor/Adrenal Gland Cancer	Adrenal Gland Cancer
Any cancer/Solid tumor/Adrenal Gland Cancer/Adrenocortical Adenoma	Adrenocortical Adenoma
Any cancer/Solid tumor/Adrenal Gland Cancer/Adrenocortical Carcinoma	Adrenocortical Carcinoma
Any cancer/Solid tumor/Adrenal Gland Cancer/Pheochromocytoma	Pheochromocytoma
Any cancer/Solid tumor/Ampullary Carcinoma	Ampullary Carcinoma
Any cancer/Solid tumor/Ampullary Carcinoma/Ampullary Carcinoma	Ampullary Carcinoma
Any cancer/Solid tumor/Ampullary Carcinoma/Ampullary Carcinoma/Intestinal Ampullary Carcinoma	Intestinal Ampullary Carcinoma
Any cancer/Solid tumor/Ampullary Carcinoma/Ampullary Carcinoma/Mixed Ampullary Carcinoma	Mixed Ampullary Carcinoma
Any cancer/Solid tumor/Ampullary Carcinoma/Ampullary Carcinoma/Pancreatobiliary Ampullary Carcinoma	Pancreatobiliary Ampullary Carcinoma
Any cancer/Solid tumor/Biliary Tract Cancer	Biliary Tract Cancer
Any cancer/Solid tumor/Biliary Tract Cancer/Cholangiocarcinoma	Cholangiocarcinoma
Any cancer/Solid tumor/Biliary Tract Cancer/Cholangiocarcinoma/Extrahepatic Cholangiocarcinoma	Extrahepatic Cholangiocarcinoma
Any cancer/Solid tumor/Biliary Tract Cancer/Cholangiocarcinoma/Intrahepatic Cholangiocarcinoma	Intrahepatic Cholangiocarcinoma
Any cancer/Solid tumor/Biliary Tract Cancer/Cholangiocarcinoma/Perihilar Cholangiocarcinoma	Perihilar Cholangiocarcinoma
Any cancer/Solid tumor/Biliary Tract Cancer/Gallbladder Cancer/Adenosquamous Carcinoma of the Gallbladder	Adenosquamous Carcinoma of the Gallbladder
Any cancer/Solid tumor/Biliary Tract Cancer/Gallbladder Cancer/Gallbladder Adenocarcinoma, NOS	Gallbladder Adenocarcinoma, NOS
Any cancer/Solid tumor/Biliary Tract Cancer/Gallbladder Cancer	Gallbladder Cancer
Any cancer/Solid tumor/Biliary Tract Cancer/Gallbladder Cancer/Small Cell Gallbladder Carcinoma	Small Cell Gallbladder Carcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Bladder Adenocarcinoma	Bladder Adenocarcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Bladder Squamous Cell Carcinoma	Bladder Squamous Cell Carcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer	Bladder-Urinary Tract Cancer
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Inflammatory Myofibroblastic Bladder Tumor	Inflammatory Myofibroblastic Bladder Tumor
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Inverted Urothelial Papilloma	Inverted Urothelial Papilloma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Mucosal Melanoma of the Urethra	Mucosal Melanoma of the Urethra
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Plasmacytoid	Plasmacytoid
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Plasmacytoid/Signet Ring Cell Bladder Carcinoma	Signet Ring Cell Bladder Carcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Sarcomatoid Carcinoma of the Urinary Bladder	Sarcomatoid Carcinoma of the Urinary Bladder
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Small Cell Bladder Cancer	Small Cell Bladder Cancer
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Upper Tract Urothelial Carcinoma	Upper Tract Urothelial Carcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Urachal Carcinoma/Urachal Adenocarcinoma	Urachal Adenocarcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Urachal Carcinoma	Urachal Carcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Urethral Cancer/Urethral Adenocarcinoma	Urethral Adenocarcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Urethral Cancer	Urethral Cancer
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Urethral Cancer/Urethral Squamous Cell Carcinoma	Urethral Squamous Cell Carcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Urethral Cancer/Urethral Urothelial Carcinoma	Urethral Urothelial Carcinoma
Any cancer/Solid tumor/Bladder-Urinary Tract Cancer/Urothelial Papilloma	Urothelial Papilloma
Any cancer/Solid tumor/Bone Cancer/Adamantinoma	Adamantinoma
Any cancer/Solid tumor/Bone Cancer	Bone Cancer
Any cancer/Solid tumor/Bone Cancer/Chondroblastoma	Chondroblastoma
Any cancer/Solid tumor/Bone Cancer/Chondrosarcoma	Chondrosarcoma
Any cancer/Solid tumor/Bone Cancer/Chondrosarcoma/Dedifferentiated Chondrosarcoma	Dedifferentiated Chondrosarcoma
Any cancer/Solid tumor/Bone Cancer/Chondrosarcoma/Extraskeletal Myxoid Chondrosarcoma	Extraskeletal Myxoid Chondrosarcoma
Any cancer/Solid tumor/Bone Cancer/Chondrosarcoma/Mesenchymal Chondrosarcoma	Mesenchymal Chondrosarcoma
Any cancer/Solid tumor/Bone Cancer/Chondrosarcoma/Myxoid Chondrosarcoma	Myxoid Chondrosarcoma
Any cancer/Solid tumor/Bone Cancer/Chordoma	Chordoma
Any cancer/Solid tumor/Bone Cancer/Chordoma/Conventional Type Chordoma	Conventional Type Chordoma
Any cancer/Solid tumor/Bone Cancer/Chordoma/Dedifferentiated Chordoma	Dedifferentiated Chordoma
Any cancer/Solid tumor/Bone Cancer/Ewing Sarcoma	Ewing Sarcoma
Any cancer/Solid tumor/Bone Cancer/Giant Cell Tumor of Bone	Giant Cell Tumor of Bone
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/Chondroblastic Osteosarcoma	Chondroblastic Osteosarcoma
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/Fibroblastic Osteosarcoma	Fibroblastic Osteosarcoma
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/High-Grade Surface Osteosarcoma	High-Grade Surface Osteosarcoma
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/Low-Grade Central Osteosarcoma	Low-Grade Central Osteosarcoma
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/Osteoblastic Osteosarcoma	Osteoblastic Osteosarcoma
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma	Osteosarcoma
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/Parosteal Osteosarcoma	Parosteal Osteosarcoma
Any cancer/Solid tumor/Bone Cancer/Osteosarcoma/Periosteal Osteosarcoma	Periosteal Osteosarcoma
